iteration 	 keff 	 	 error	
13	 	1.00099	 	2.95505e-05
14	 	1.00102	 	2.82798e-05
15	 	1.00105	 	2.70444e-05
16	 	1.00108	 	2.58461e-05
17	 	1.0011	 	2.46863e-05
18	 	1.00112	 	2.35656e-05
19	 	1.00115	 	2.24845e-05
20	 	1.00117	 	2.14433e-05
21	 	1.00119	 	2.04416e-05
22	 	1.00121	 	1.94792e-05
23	 	1.00123	 	1.85555e-05
24	 	1.00124	 	1.76698e-05
25	 	1.00126	 	1.68213e-05
26	 	1.00128	 	1.60091e-05
27	 	1.00129	 	1.52322e-05
28	 	1.00131	 	1.44895e-05
29	 	1.00132	 	1.37801e-05
30	 	1.00133	 	1.31027e-05
31	 	1.00135	 	1.24562e-05
32	 	1.00136	 	1.18396e-05
33	 	1.00137	 	1.12517e-05
34	 	1.00138	 	1.06913e-05
35	 	1.00139	 	1.01574e-05
36	 	1.0014	 	9.64896e-06
UAL-2-0-SL  delx = 0.0783078 keff= 1.0014 with error: 9.64896e-06

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.9152	 	-0.0848001
2	 	0.993171	 	0.077971
3	 	0.999748	 	0.00657665
4	 	1.00045	 	0.00070702
5	 	1.00068	 	0.000224742
6	 	1.00076	 	7.98244e-05
7	 	1.0008	 	3.77561e-05
8	 	1.00083	 	3.63371e-05
9	 	1.00087	 	3.49337e-05
10	 	1.0009	 	3.35496e-05
11	 	1.00093	 	3.21886e-05
12	 	1.00096	 	3.08544e-05
13	 	1.00099	 	2.95505e-05
14	 	1.00102	 	2.82798e-05
15	 	1.00105	 	2.70444e-05
16	 	1.00108	 	2.58461e-05
17	 	1.0011	 	2.46863e-05
18	 	1.00112	 	2.35656e-05
19	 	1.00115	 	2.24845e-05
20	 	1.00117	 	2.14433e-05
21	 	1.00119	 	2.04416e-05
22	 	1.00121	 	1.94792e-05
23	 	1.00123	 	1.85555e-05
24	 	1.00124	 	1.76698e-05
25	 	1.00126	 	1.68213e-05
26	 	1.00128	 	1.60091e-05
27	 	1.00129	 	1.52322e-05
28	 	1.00131	 	1.44895e-05
29	 	1.00132	 	1.37801e-05
30	 	1.00133	 	1.31027e-05
31	 	1.00135	 	1.24562e-05
32	 	1.00136	 	1.18396e-05
33	 	1.00137	 	1.12517e-05
34	 	1.00138	 	1.06913e-05
35	 	1.00139	 	1.01574e-05
36	 	1.0014	 	9.64896e-06
UAL-2-0-SL  delx = 0.0783078 keff= 1.0014 with error: 9.64896e-06

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.9152	 	-0.0848001
2	 	0.993171	 	0.077971
3	 	0.999748	 	0.00657665
4	 	1.00045	 	0.00070702
5	 	1.00068	 	0.000224742
6	 	1.00076	 	7.98244e-05
7	 	1.0008	 	3.77561e-05
8	 	1.00083	 	3.63371e-05
9	 	1.00087	 	3.49337e-05
10	 	1.0009	 	3.35496e-05
11	 	1.00093	 	3.21886e-05
12	 	1.00096	 	3.08544e-05
13	 	1.00099	 	2.95505e-05
14	 	1.00102	 	2.82798e-05
15	 	1.00105	 	2.70444e-05
16	 	1.00108	 	2.58461e-05
17	 	1.0011	 	2.46863e-05
18	 	1.00112	 	2.35656e-05
19	 	1.00115	 	2.24845e-05
20	 	1.00117	 	2.14433e-05
21	 	1.00119	 	2.04416e-05
22	 	1.00121	 	1.94792e-05
23	 	1.00123	 	1.85555e-05
24	 	1.00124	 	1.76698e-05
25	 	1.00126	 	1.68213e-05
26	 	1.00128	 	1.60091e-05
27	 	1.00129	 	1.52322e-05
28	 	1.00131	 	1.44895e-05
29	 	1.00132	 	1.37801e-05
30	 	1.00133	 	1.31027e-05
31	 	1.00135	 	1.24562e-05
32	 	1.00136	 	1.18396e-05
33	 	1.00137	 	1.12517e-05
34	 	1.00138	 	1.06913e-05
35	 	1.00139	 	1.01574e-05
36	 	1.0014	 	9.64896e-06
UAL-2-0-SL  delx = 0.0783078 keff= 1.0014 with error: 9.64896e-06

flux distribution is saved in the flux-UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.9152	 	-0.0848001
2	 	0.993171	 	0.077971
3	 	0.999748	 	0.00657665
4	 	1.00045	 	0.00070702
5	 	1.00068	 	0.000224742
6	 	1.00076	 	7.98244e-05
7	 	1.0008	 	3.77561e-05
8	 	1.00083	 	3.63371e-05
9	 	1.00087	 	3.49337e-05
10	 	1.0009	 	3.35496e-05
11	 	1.00093	 	3.21886e-05
12	 	1.00096	 	3.08544e-05
13	 	1.00099	 	2.95505e-05
14	 	1.00102	 	2.82798e-05
15	 	1.00105	 	2.70444e-05
16	 	1.00108	 	2.58461e-05
17	 	1.0011	 	2.46863e-05
18	 	1.00112	 	2.35656e-05
19	 	1.00115	 	2.24845e-05
20	 	1.00117	 	2.14433e-05
21	 	1.00119	 	2.04416e-05
22	 	1.00121	 	1.94792e-05
23	 	1.00123	 	1.85555e-05
24	 	1.00124	 	1.76698e-05
25	 	1.00126	 	1.68213e-05
26	 	1.00128	 	1.60091e-05
27	 	1.00129	 	1.52322e-05
28	 	1.00131	 	1.44895e-05
29	 	1.00132	 	1.37801e-05
30	 	1.00133	 	1.31027e-05
31	 	1.00135	 	1.24562e-05
32	 	1.00136	 	1.18396e-05
33	 	1.00137	 	1.12517e-05
34	 	1.00138	 	1.06913e-05
35	 	1.00139	 	1.01574e-05
36	 	1.0014	 	9.64896e-06
./output/UAL-2-0-SL  delx = 0.0783078 keff= 1.0014 with error: 9.64896e-06

flux distribution is saved in the flux-./output/UAL-2-0-SL.m script
iteration 	 keff 	 	 error	
1	 	0.149854	 	-0.850146
2	 	0.154336	 	0.00448241
3	 	0.155912	 	0.00157585
4	 	0.156534	 	0.000621902
5	 	0.156792	 	0.000258339
6	 	0.156902	 	0.000109985
7	 	0.15695	 	4.74378e-05
8	 	0.156971	 	2.08527e-05
9	 	0.15698	 	9.0967e-06
10	 	0.156984	 	4.0385e-06
11	 	0.156986	 	1.85721e-06
12	 	0.156987	 	1.004e-06
UAL-2-0-SL  delx = 0.0783078 keff= 0.156987 with error: 1.004e-06

flux distribution is saved in the flux___UAL-2-0-SL.m and .py file script
iteration 	 keff 	 	 error	
1	 	0.200551	 	-0.799449
2	 	0.200552	 	5.2191e-07
UAL-2-0-SL  delx = 0.0783078 keff= 0.200552 with error: 5.2191e-07

flux distribution is saved in the flux___UAL-2-0-SL.m and .py file script
iteration 	 keff 	 	 error	
1	 	0.200551	 	-0.799449
2	 	0.200552	 	5.2191e-07
UAL-2-0-SL  delx = 0.0783078 keff= 0.200552 with error: 5.2191e-07

flux distribution is saved in the flux___UAL-2-0-SL.m and .py file script
iteration 	 keff 	 	 error	
1	 	0.182246	 	-0.817754
2	 	0.182246	 	1.98653e-07
UAL-2-0-SL  delx = 0.0783078 keff= 0.182246 with error: 1.98653e-07

flux distribution is saved in the flux___UAL-2-0-SL.m and .py file script
